1:[-40.0, 72.0]
8868:[-79.97638888888889, 40.439722222222215]
8869:[-77.41111111111111, 39.413888888888884]
8870:[-76.7, 39.0]
8871:[-109.44250000000001, 35.42388888888889]
8873:[-0.8937527, 52.2303748]
8875:[-43.93333333333333, -19.916666666666668]
8877:[-73.86666666666666, 40.75]
8879:[49.882222222222225, 40.39527777777778]
8881:[86.92527777777778, 27.988055555555558]
8882:[-78.0, 40.0]
8883:[-81.0, 34.0]
8885:[-80.0, 35.5]
8886:[-83.215, 42.358]
8887:[-83.84, 42.25]
8888:[0.897703, 51.923394]
8889:[-3.179, 51.4877]
8890:[-96.31444444444445, 30.60138888888889]
8892:[-103.68333333333334, 20.566666666666666]
8894:[65.7, 27.7]
8895:[67.0, 30.183333333333334]
8897:[1.1, 49.44]
8900:[4.5, 51.916666666666664]
8901:[-3.534422, 50.736509]
8902:[-3.533333333333333, 50.71666666666667]
8904:[-117.33111111111111, 33.97555555555556]
8905:[-117.39611111111111, 33.948055555555555]
8907:[-119.7538888888889, 39.16083333333333]
8909:[-117.647, 34.0999]
8911:[-73.908, 42.021]
8912:[-3.716666666666667, 40.38333333333333]
8915:[147.3227777777778, -42.90472222222222]
8917:[-122.27277777777778, 37.87166666666667]
8918:[-121.91, 37.65]
8920:[-90.122687, 29.935344]
8921:[-92.0, 31.0]
8922:[-81.83333333333333, 26.616666666666667]
8923:[-81.6, 28.1]
8925:[-69.95, 18.466666666666665]
8926:[-75.81833333333333, 14.525555555555556]
8928:[4.8902777777777775, 52.36833333333333]
8929:[-97.735, 30.285]
8930:[-97.73333333333333, 30.266666666666666]
8934:[-80.22361111111111, 43.53333333333333]
8935:[-80.25, 43.55]
8936:[11.966666666666667, 51.483333333333334]
8943:[-2.2931, 53.483]
8944:[8.8, 53.083333333333336]
8945:[-120.45, 35.38]
8946:[-120.66305555555556, 35.274166666666666]
8949:[-1.75206, 53.8]
8950:[-1.6666666666666665, 53.75]
8951:[-3.6925000000000003, 40.413888888888884]
8953:[-83.26, 42.28]
8957:[-111.78916666666666, 34.86]
8958:[-2.699, 53.759]
8962:[-87.63333333333334, 41.8]
8963:[-63.0, 45.0]
8966:[-2.4166666666666665, 53.833333333333336]
8967:[-25.0, 0.0]
8968:[-0.561, 51.3162]
8969:[-0.5, 51.3167]
8970:[-71.72, 42.92]
8971:[-71.5, 44.0]
8972:[-111.04722222222222, 45.67777777777778]
8973:[8.716666666666667, 49.416666666666664]
8975:[90.39249722222223, 23.731547222222222]
8976:[90.36666666666666, 23.7]
8977:[-82.91, 42.67]
8978:[-85.0, 44.0]
8980:[151.232514, -33.916921]
8984:[-121.46888888888888, 38.55555555555555]
8986:[-2.44, 53.099]
8987:[-3.0, 59.0]
8988:[-4.0, 54.0]
8989:[-122.27444444444444, 37.75611111111111]
8990:[-0.0912, 51.4736]
8992:[10.983333333333333, 45.43333333333333]
8993:[11.578333333333333, 49.948055555555555]
8994:[-83.69, 43.01]
8995:[8.773611111111112, 50.81083333333333]
8999:[-1.638, 52.7995]
9000:[-2.0, 52.833333333333336]
9002:[-121.96916666666667, 37.35444444444445]
9005:[-111.63111111111111, 35.19916666666666]
9008:[-114.06666666666666, 51.05]
9009:[18.42388888888889, -33.92527777777777]
9013:[126.98333333333333, 37.53333333333333]
9014:[-110.9263888888889, 32.22166666666667]
9016:[-75.0, 15.0]
9020:[-73.79556, 40.72194]
9024:[-76.50115833333334, 38.972944444444444]
9026:[-74.26506, 40.785753]
9027:[-84.516, 39.131]
9029:[139.7516, 35.65806944444444]
9030:[-2.0, 50.0]
9032:[-71.08694444444444, 42.34638888888889]
9033:[-71.8, 42.3]
9036:[-2.8916, 53.1903]
9038:[-122.02638888888889, 36.971944444444446]
9040:[-70.95, 42.46666666666667]
9041:[-94.34, 39.01]
9042:[-92.5, 38.5]
9044:[-86.148, 39.791]
9045:[19.033333333333335, 47.483333333333334]
9047:[-75.93, 40.42]
9049:[121.47472222222223, 31.22861111111111]
9051:[-2.716, 52.0565]
9052:[-6.4575, 52.3342]
9053:[-6.75, 52.5]
9055:[27.916666666666668, 43.21666666666667]
9059:[-0.5669444444444445, 51.42472222222222]
9060:[-73.75722222222223, 42.652499999999996]
9062:[-3.183333333333333, 51.483333333333334]
9064:[-84.91327222222223, 39.82456666666667]
9065:[-86.0, 40.0]
9067:[28.045555555555556, -26.204444444444444]
9071:[-119.82194444444444, 39.52722222222222]
